Age,Male Death Probability,Male Number of Lives,Male Life Expectancy,Female Death Probability,Female Number of Lives,Female Life Expectancy
0,0.007474,"100,000",74.83,0.006091,"100,000",79.96
1,0.000513,"99,253",74.4,0.000461,"99,391",79.45
2,0.000328,"99,202",73.43,0.000268,"99,345",78.49
3,0.000247,"99,169",72.46,0.000195,"99,318",77.51
4,0.000205,"99,145",71.47,0.000166,"99,299",76.52
5,0.000189,"99,124",70.49,0.000148,"99,283",75.54
6,0.000182,"99,106",69.5,0.000138,"99,268",74.55
7,0.000172,"99,088",68.52,0.00013,"99,254",73.56
8,0.000153,"99,071",67.53,0.000122,"99,241",72.57
9,0.000126,"99,055",66.54,0.000113,"99,229",71.58
10,0.000102,"99,043",65.55,0.000107,"99,218",70.58
11,0.000104,"99,033",64.55,0.00011,"99,207",69.59
12,0.000156,"99,022",63.56,0.000133,"99,196",68.6
13,0.000273,"99,007",62.57,0.000178,"99,183",67.61
14,0.000435,"98,980",61.59,0.000238,"99,166",66.62
15,0.000613,"98,937",60.61,0.000308,"99,142",65.64
16,0.000782,"98,876",59.65,0.000372,"99,111",64.66
17,0.000935,"98,799",58.7,0.000421,"99,075",63.68
18,0.001061,"98,707",57.75,0.000445,"99,033",62.71
19,0.001162,"98,602",56.81,0.000451,"98,989",61.74
20,0.001264,"98,487",55.88,0.000454,"98,944",60.76
21,0.001361,"98,363",54.95,0.000462,"98,899",59.79
22,0.001422,"98,229",54.02,0.000469,"98,854",58.82
23,0.001438,"98,089",53.1,0.00048,"98,807",57.84
24,0.00142,"97,948",52.17,0.000493,"98,760",56.87
25,0.001392,"97,809",51.25,0.000507,"98,711",55.9
26,0.001368,"97,673",50.32,0.000523,"98,661",54.93
27,0.001349,"97,539",49.38,0.000542,"98,609",53.96
28,0.001341,"97,408",48.45,0.000564,"98,556",52.99
29,0.001344,"97,277",47.52,0.00059,"98,500",52.02
30,0.001352,"97,146",46.58,0.000621,"98,442",51.05
31,0.001367,"97,015",45.64,0.000659,"98,381",50.08
32,0.001404,"96,882",44.7,0.000705,"98,316",49.11
33,0.001467,"96,746",43.76,0.000761,"98,247",48.14
34,0.001555,"96,604",42.83,0.000825,"98,172",47.18
35,0.001662,"96,454",41.89,0.000898,"98,091",46.22
36,0.001782,"96,294",40.96,0.000979,"98,003",45.26
37,0.001918,"96,122",40.04,0.001074,"97,907",44.3
38,0.002068,"95,938",39.11,0.001183,"97,802",43.35
39,0.002235,"95,740",38.19,0.001306,"97,686",42.4
40,0.00242,"95,526",37.28,0.001439,"97,559",41.46
41,0.002629,"95,294",36.36,0.001581,"97,418",40.52
42,0.002863,"95,044",35.46,0.001732,"97,264",39.58
43,0.003127,"94,772",34.56,0.001891,"97,096",38.65
44,0.003418,"94,475",33.67,0.002059,"96,912",37.72
45,0.003732,"94,153",32.78,0.002244,"96,713",36.8
46,0.004067,"93,801",31.9,0.002441,"96,496",35.88
47,0.004424,"93,420",31.03,0.002634,"96,260",34.96
48,0.004805,"93,006",30.17,0.002815,"96,007",34.06
49,0.005208,"92,560",29.31,0.002997,"95,736",33.15
50,0.005657,"92,077",28.46,0.003198,"95,449",32.25
51,0.006134,"91,557",27.62,0.003431,"95,144",31.35
52,0.006595,"90,995",26.79,0.003696,"94,818",30.46
53,0.007027,"90,395",25.96,0.003998,"94,467",29.57
54,0.007457,"89,760",25.14,0.004341,"94,090",28.68
55,0.007921,"89,090",24.33,0.004722,"93,681",27.81
56,0.008467,"88,385",23.52,0.005148,"93,239",26.94
57,0.009121,"87,636",22.71,0.005627,"92,759",26.07
58,0.009912,"86,837",21.92,0.006166,"92,237",25.22
59,0.010827,"85,976",21.13,0.006765,"91,668",24.37
60,0.011858,"85,045",20.36,0.007445,"91,048",23.53
61,0.012966,"84,037",19.6,0.008187,"90,370",22.71
62,0.014123,"82,947",18.85,0.008959,"89,630",21.89
63,0.015312,"81,776",18.11,0.009747,"88,827",21.08
64,0.016567,"80,524",17.38,0.010582,"87,962",20.29
65,0.017976,"79,190",16.67,0.011511,"87,031",19.5
66,0.019564,"77,766",15.96,0.012572,"86,029",18.72
67,0.021291,"76,245",15.27,0.013772,"84,947",17.95
68,0.023162,"74,621",14.59,0.01513,"83,777",17.19
69,0.025217,"72,893",13.93,0.016651,"82,510",16.45
70,0.027533,"71,055",13.27,0.018406,"81,136",15.72
71,0.030131,"69,098",12.64,0.020342,"79,643",15.01
72,0.032978,"67,016",12.01,0.022346,"78,023",14.31
73,0.036086,"64,806",11.41,0.024382,"76,279",13.62
74,0.039506,"62,468",10.81,0.026551,"74,419",12.95
75,0.043415,"60,000",10.24,0.029073,"72,443",12.29
76,0.047789,"57,395",9.68,0.032023,"70,337",11.64
77,0.052464,"54,652",9.14,0.035307,"68,085",11.01
78,0.057413,"51,785",8.62,0.038949,"65,681",10.4
79,0.062789,"48,812",8.11,0.043047,"63,123",9.8
80,0.068836,"45,747",7.62,0.047769,"60,405",9.22
81,0.075724,"42,598",7.15,0.05319,"57,520",8.65
82,0.083466,"39,372",6.7,0.059279,"54,460",8.11
83,0.092144,"36,086",6.26,0.06608,"51,232",7.59
84,0.101803,"32,761",5.84,0.073685,"47,847",7.09
85,0.112468,"29,426",5.45,0.082199,"44,321",6.62
86,0.124164,"26,116",5.08,0.091712,"40,678",6.17
87,0.136917,"22,874",4.73,0.102294,"36,947",5.74
88,0.150754,"19,742",4.4,0.11399,"33,168",5.33
89,0.165704,"16,766",4.09,0.12682,"29,387",4.96
90,0.181789,"13,988",3.8,0.140793,"25,660",4.6
91,0.199019,"11,445",3.54,0.155906,"22,047",4.28
92,0.217396,"9,167",3.29,0.172147,"18,610",3.97
93,0.236906,"7,174",3.06,0.189496,"15,406",3.7
94,0.257525,"5,475",2.86,0.207925,"12,487",3.44
95,0.278031,"4,065",2.68,0.226597,"9,891",3.22
96,0.298111,"2,935",2.52,0.245258,"7,649",3.01
97,0.317432,"2,060",2.38,0.263628,"5,773",2.83
98,0.335655,"1,406",2.25,0.28141,"4,251",2.66
99,0.352438,934,2.13,0.298294,"3,055",2.5
100,0.37006,605,2.02,0.316192,"2,144",2.36
101,0.388563,381,1.91,0.335163,"1,466",2.22
102,0.407991,233,1.81,0.355273,975,2.08
103,0.42839,138,1.71,0.37659,628,1.95
104,0.44981,79,1.61,0.399185,392,1.83
105,0.4723,43,1.52,0.423136,235,1.71
106,0.495915,23,1.43,0.448524,136,1.6
107,0.520711,12,1.35,0.475436,75,1.49
108,0.546747,6,1.26,0.503962,39,1.39
109,0.574084,3,1.19,0.534199,19,1.29
110,0.602788,1,1.11,0.566251,9,1.2
111,0.632928,0,1.04,0.600226,4,1.11
112,0.664574,0,0.97,0.63624,2,1.03
113,0.697803,0,0.91,0.674414,1,0.95
114,0.732693,0,0.84,0.714879,0,0.87
115,0.769327,0,0.78,0.757772,0,0.8
116,0.807794,0,0.72,0.803238,0,0.73
117,0.848183,0,0.67,0.848183,0,0.67
118,0.890592,0,0.62,0.890592,0,0.62
119,0.935122,0,0.57,0.935122,0,0.57