Year,CAPE10,Mean,Median
1881,15.96,17.63,18.03
1882,15.38,16.44,16.02
1883,14.9,16.06,15.51
1884,13.43,15.49,15.26
1885,16.3,15.31,15.17
1886,18.19,15.7,15.4
1887,15.46,15.88,15.72
1888,14.95,15.81,15.49
1889,16.61,15.91,15.78
1890,14.44,15.97,15.93
1891,18.21,16.0,15.89
1892,18.01,16.27,16.02
1893,15.61,16.24,15.97
1894,16.67,16.26,16.12
1895,16.55,16.32,16.3
1896,16.5,16.36,16.45
1897,18.75,16.46,16.53
1898,21.4,16.62,16.61
1899,18.51,16.88,16.71
1900,20.74,16.97,16.85
1901,21.68,17.24,16.91
1902,19.63,17.46,17.05
1903,16.04,17.46,17.05
1904,18.16,17.42,17.02
1905,19.58,17.49,17.1
1906,17.66,17.54,17.21
1907,11.33,17.39,17.11
1908,14.58,17.23,17.03
1909,14.75,17.15,16.9
1910,13.74,17.03,16.83
1911,13.93,16.94,16.71
1912,13.39,16.84,16.61
1913,11.17,16.69,16.53
1914,10.17,16.53,16.45
1915,12.88,16.38,16.3
1916,11.41,16.26,16.18
1917,6.41,16.06,16.04
1918,6.13,15.81,15.95
1919,6.16,15.57,15.77
1920,4.78,15.31,15.66
1921,6.11,15.07,15.55
1922,7.96,14.89,15.48
1923,7.81,14.73,15.41
1924,9.31,14.58,15.35
1925,11.15,14.48,15.25
1926,13.01,14.42,15.17
1927,18.65,14.45,15.17
1928,25.3,14.61,15.25
1929,22.01,14.87,15.35
1930,16.06,15.0,15.41
1931,9.31,15.0,15.41
1932,8.26,14.86,15.35
1933,12.28,14.79,15.25
1934,11.64,14.75,15.17
1935,16.16,14.72,15.1
1936,21.13,14.8,15.21
1937,13.01,14.86,15.25
1938,15.76,14.85,15.21
1939,16.28,14.86,15.24
1940,13.91,14.85,15.21
1941,10.09,14.81,15.12
1942,9.62,14.72,15.06
1943,10.74,14.66,15.02
1944,11.64,14.61,14.95
1945,15.02,14.59,14.84
1946,11.37,14.58,14.84
1947,10.68,14.53,14.76
1948,10.16,14.47,14.73
1949,10.53,14.41,14.59
1950,11.31,14.36,14.47
1951,12.15,14.33,14.37
1952,12.93,14.3,14.33
1953,11.75,14.27,14.12
1954,15.79,14.26,14.05
1955,18.94,14.31,14.25
1956,17.2,14.36,14.35
1957,13.67,14.37,14.37
1958,17.36,14.38,14.37
1959,18.62,14.44,14.5
1960,17.56,14.47,14.6
1961,22.04,14.55,14.7
1962,18.59,14.6,14.76
1963,21.04,14.67,14.83
1964,22.75,14.76,14.95
1965,23.69,14.86,15.02
1966,19.74,14.94,15.05
1967,21.75,15.01,15.09
1968,22.28,15.09,15.13
1969,17.33,15.13,15.23
1970,15.87,15.14,15.21
1971,16.6,15.15,15.27
1972,18.65,15.18,15.37
1973,13.49,15.19,15.4
1974,8.29,15.15,15.3
1975,10.25,15.1,15.25
1976,11.6,15.06,15.17
1977,9.68,15.01,15.12
1978,9.01,14.95,15.07
1979,8.75,14.89,15.04
1980,9.39,14.83,15.0
1981,7.83,14.77,14.93
1982,8.47,14.7,14.83
1983,9.82,14.65,14.76
1984,9.6,14.6,14.7
1985,11.69,14.56,14.63
1986,14.09,14.55,14.51
1987,13.39,14.56,14.59
1988,14.7,14.56,14.57
1989,17.65,14.58,14.64
1990,15.85,14.6,14.71
1991,18.44,14.63,14.76
1992,20.45,14.67,14.81
1993,21.16,14.73,14.87
1994,19.91,14.78,14.95
1995,25.03,14.85,15.02
1996,27.72,14.94,15.05
1997,33.03,15.08,15.08
1998,38.82,15.26,15.12
1999,44.2,15.48,15.19
2000,37.27,15.7,15.25
2001,30.5,15.83,15.29
2002,23.1,15.92,15.39
2003,26.64,15.98,15.42
2004,27.14,16.07,15.47
2005,26.44,16.15,15.52
2006,27.28,16.23,15.58
2007,25.96,16.31,15.63
2008,15.38,16.34,15.67
2009,20.32,16.35,15.7
2010,22.4,16.38,15.76
2011,20.52,16.42,15.81
2012,21.24,16.46,15.87
2013,24.86,16.51,15.91
2014,26.79,16.58,15.97
2015,25.97,16.65,16.04
