Date,P,D,CPI,,,,,,
1983.09,167.20,7.00,100.70,,,,,,
1983.1,167.70,7.03,101.00,,,,,,
1983.11,165.20,7.06,101.20,,,,,,
1983.12,164.40,7.09,101.30,,,,,,
1984.01,166.40,7.12,101.90,,,,,,
1984.02,157.30,7.15,102.40,,,,,,
1984.03,157.40,7.18,102.60,,,,,,
1984.04,157.60,7.22,103.10,,,,,,
1984.05,156.60,7.27,103.40,,,,,,
1984.06,153.10,7.31,103.70,,,,,,
1984.07,151.10,7.33,104.10,,,,,,
1984.08,164.40,7.36,104.50,,,,,,
1984.09,166.10,7.38,105.00,,,,,,
1984.1,164.80,7.43,105.30,,,,,,
1984.11,166.30,7.48,105.30,,,,,,
1984.12,164.50,7.53,105.30,,,,,,
1985.01,171.60,7.57,105.50,,,,,,
1985.02,180.90,7.62,106.00,,,,,,
1985.03,179.40,7.66,106.40,,,,,,
1985.04,180.60,7.69,106.90,,,,,,
1985.05,184.90,7.71,107.30,,,,,,
1985.06,188.90,7.74,107.60,,,,,,
1985.07,192.50,7.77,107.80,,,,,,
1985.08,188.30,7.81,108.00,,,,,,
1985.09,184.10,7.84,108.30,,,,,,
1985.1,186.20,7.86,108.70,,,,,,
1985.11,197.50,7.88,109.00,,,,,,
1985.12,207.30,7.90,109.30,,,,,,
1986.01,208.20,7.94,109.60,,,,,,
1986.02,219.40,7.98,109.30,,,,,,
1986.03,232.30,8.02,108.80,,,,,,
1986.04,238.00,8.05,108.60,,,,,,
1986.05,238.50,8.07,108.90,,,,,,
1986.06,245.30,8.10,109.50,,,,,,
1986.07,240.20,8.14,109.50,,,,,,
1986.08,245.00,8.19,109.70,,,,,,
1986.09,238.30,8.23,110.20,,,,,,
1986.1,237.40,8.25,110.30,,,,,,
1986.11,245.10,8.26,110.40,,,,,,
1986.12,248.60,8.28,110.50,,,,,,
1987.01,264.50,8.30,111.20,,,,,,
1987.02,280.90,8.32,111.60,,,,,,
1987.03,292.50,8.34,112.10,,,,,,
1987.04,289.30,8.40,112.70,,,,,,
1987.05,289.10,8.46,113.10,,,,,,
1987.06,301.40,8.52,113.50,,,,,,
1987.07,310.10,8.57,113.80,,,,,,
1987.08,329.40,8.61,114.40,,,,,,
1987.09,318.70,8.66,115.00,,,,,,
1987.1,280.20,8.71,115.30,,,,,,
1987.11,245.00,8.76,115.40,,,,,,
1987.12,241.00,8.81,115.40,,,,,,
1988.01,250.50,8.86,115.70,,,,,,
1988.02,258.10,8.90,116.00,,,,,,
1988.03,265.70,8.95,116.50,,,,,,
1988.04,262.60,9.04,117.10,,,,,,
1988.05,256.10,9.14,117.50,,,,,,
1988.06,270.70,9.23,118.00,,,,,,
1988.07,269.10,9.31,118.50,,,,,,
1988.08,263.70,9.38,119.00,,,,,,
1988.09,268.00,9.46,119.80,,,,,,
1988.1,277.40,9.55,120.20,,,,,,
1988.11,271.00,9.64,120.30,,,,,,
1988.12,276.50,9.75,120.50,,,,,,
1989.01,285.40,9.81,121.10,,,,,,
1989.02,294.00,9.90,121.60,,,,,,
1989.03,292.70,10.01,122.30,,,,,,
1989.04,302.30,10.09,123.10,,,,,,
1989.05,313.90,10.19,123.80,,,,,,
1989.06,323.70,10.37,124.10,,,,,,
1989.07,331.90,10.42,124.40,,,,,,
1989.08,346.60,10.55,124.60,,,,,,
1989.09,347.30,10.73,125.00,,,,,,
1989.1,347.40,10.80,125.60,,,,,,
1989.11,340.20,10.92,125.90,,,,,,
1989.12,348.60,11.06,126.10,,,,,,
1990.01,339.97,11.14,127.40,,,,,,
1990.02,330.45,11.23,128.00,,,,,,
1990.03,338.46,11.32,128.70,,,,,,
1990.04,338.18,11.44,128.90,,,,,,
1990.05,350.25,11.55,129.20,,,,,,
1990.06,360.39,11.66,129.90,,,,,,
1990.07,360.03,11.73,130.40,,,,,,
1990.08,330.75,11.78,131.60,,,,,,
1990.09,315.41,11.83,132.70,,,,,,
1990.1,307.12,11.93,133.50,,,,,,
1990.11,315.29,12.01,133.80,,,,,,
1990.12,328.75,12.09,133.80,,,,,,
1991.01,325.49,12.11,134.60,,,,,,
1991.02,362.26,12.11,134.80,,,,,,
1991.03,372.28,12.11,135.00,,,,,,
1991.04,379.68,12.13,135.20,,,,,,
1991.05,377.99,12.14,135.60,,,,,,
1991.06,378.29,12.15,136.00,,,,,,
1991.07,380.23,12.19,136.20,,,,,,
1991.08,389.40,12.24,136.60,,,,,,
1991.09,387.20,12.28,137.20,,,,,,
1991.1,386.88,12.25,137.40,,,,,,
1991.11,385.92,12.23,137.80,,,,,,
1991.12,388.51,12.20,137.90,,,,,,
1992.01,416.08,12.24,138.10,,,,,,
1992.02,412.56,12.28,138.60,,,,,,
1992.03,407.36,12.32,139.30,,,,,,
1992.04,407.41,12.32,139.50,,,,,,
1992.05,414.81,12.32,139.70,,,,,,
1992.06,408.27,12.32,140.20,,,,,,
1992.07,415.05,12.34,140.50,,,,,,
1992.08,417.93,12.37,140.90,,,,,,
1992.09,418.48,12.40,141.30,,,,,,
1992.1,412.50,12.39,141.80,,,,,,
1992.11,422.84,12.38,142.00,,,,,,
1992.12,435.64,12.39,141.90,,,,,,
1993.01,435.23,12.41,142.60,,,,,,
1993.02,441.70,12.45,143.10,,,,,,
1993.03,450.16,12.48,143.60,,,,,,
1993.04,443.08,12.49,144.00,,,,,,
1993.05,445.25,12.51,144.20,,,,,,
1993.06,448.06,12.52,144.40,,,,,,
1993.07,447.29,12.52,144.40,,,,,,
1993.08,454.13,12.52,144.80,,,,,,
1993.09,459.24,12.52,145.10,,,,,,
1993.1,463.90,12.54,145.70,,,,,,
1993.11,462.89,12.56,145.80,,,,,,
1993.12,465.95,12.58,145.80,,,,,,
1994.01,472.99,12.62,146.20,,,,,,
1994.02,471.58,12.67,146.70,,,,,,
1994.03,463.81,12.71,147.20,,,,,,
1994.04,447.23,12.75,147.40,,,,,,
1994.05,450.90,12.80,147.50,,,,,,
1994.06,454.83,12.84,148.00,,,,,,
1994.07,451.40,12.87,148.40,,,,,,
1994.08,464.24,12.90,149.00,,,,,,
1994.09,466.96,12.92,149.40,,,,,,
1994.1,463.81,13.01,149.50,,,,,,
1994.11,461.01,13.10,149.70,,,,,,
1994.12,455.19,13.17,149.70,,,,,,
1995.01,465.25,13.18,150.30,,,,,,
1995.02,481.92,13.18,150.90,,,,,,
1995.03,493.15,13.17,151.40,,,,,,
1995.04,507.91,13.24,151.90,,,,,,
1995.05,523.81,13.31,152.20,,,,,,
1995.06,539.35,13.36,152.50,,,,,,
1995.07,557.37,13.44,152.50,,,,,,
1995.08,559.11,13.51,152.90,,,,,,
1995.09,578.77,13.58,153.20,,,,,,
1995.1,582.92,13.65,153.70,,,,,,
1995.11,595.53,13.72,153.60,,,,,,
1995.12,614.57,13.79,153.50,,,,,,
1996.01,614.42,13.89,154.40,,,,,,
1996.02,649.54,14.00,154.90,,,,,,
1996.03,647.07,14.10,155.70,,,,,,
1996.04,647.17,14.16,156.30,,,,,,
1996.05,661.23,14.21,156.60,,,,,,
1996.06,668.50,14.27,156.70,,,,,,
1996.07,644.07,14.40,157.00,,,,,,
1996.08,662.68,14.53,157.30,,,,,,
1996.09,674.88,14.66,157.80,,,,,,
1996.1,701.46,14.74,158.30,,,,,,
1996.11,735.67,14.82,158.60,,,,,,
1996.12,743.25,14.90,158.60,,,,,,
1997.01,766.22,14.95,159.10,,,,,,
1997.02,798.39,15.01,159.60,,,,,,
1997.03,792.16,15.06,160.00,,,,,,
1997.04,763.93,15.09,160.20,,,,,,
1997.05,833.09,15.13,160.10,,,,,,
1997.06,876.29,15.16,160.30,,,,,,
1997.07,925.29,15.22,160.50,,,,,,
1997.08,927.24,15.27,160.80,,,,,,
1997.09,937.02,15.33,161.20,,,,,,
1997.1,951.16,15.39,161.60,,,,,,
1997.11,938.92,15.44,161.50,,,,,,
1997.12,962.37,15.50,161.30,,,,,,
1998.01,963.36,15.55,161.60,,,,,,
1998.02,1023.74,15.60,161.90,,,,,,
1998.03,1076.83,15.64,162.20,,,,,,
1998.04,1112.20,15.75,162.50,,,,,,
1998.05,1108.42,15.85,162.80,,,,,,
1998.06,1108.39,15.95,163.00,,,,,,
1998.07,1156.58,16.02,163.20,,,,,,
1998.08,1074.62,16.08,163.40,,,,,,
1998.09,1020.64,16.14,163.60,,,,,,
1998.1,1032.47,16.17,164.00,,,,,,
1998.11,1144.43,16.18,164.00,,,,,,
1998.12,1190.05,16.20,163.90,,,,,,
1999.01,1248.77,16.28,164.30,,,,,,
1999.02,1246.58,16.37,164.50,,,,,,
1999.03,1281.66,16.45,165.00,,,,,,
1999.04,1334.76,16.45,166.20,,,,,,
1999.05,1332.07,16.45,166.20,,,,,,
1999.06,1322.55,16.45,166.20,,,,,,
1999.07,1380.99,16.51,166.70,,,,,,
1999.08,1327.49,16.58,167.10,,,,,,
1999.09,1318.17,16.64,167.90,,,,,,
1999.1,1300.01,16.66,168.20,,,,,,
1999.11,1391.00,16.67,168.30,,,,,,
1999.12,1428.68,16.69,168.30,,,,,,
2000.01,1425.59,16.71,168.80,,,,,,
2000.02,1388.87,16.74,169.80,,,,,,
2000.03,1442.21,16.76,171.20,,,,,,
2000.04,1461.36,16.74,171.30,,,,,,
2000.05,1418.48,16.72,171.50,,,,,,
2000.06,1461.96,16.70,172.40,,,,,,
2000.07,1473.00,16.58,172.80,,,,,,
2000.08,1485.46,16.47,172.80,,,,,,
2000.09,1468.05,16.35,173.70,,,,,,
2000.1,1390.14,16.32,174.00,,,,,,
2000.11,1378.04,16.30,174.10,,,,,,
2000.12,1330.93,16.27,174.00,,,,,,
2001.01,1335.63,16.17,175.10,,,,,,
2001.02,1305.75,16.07,175.80,,,,,,
2001.03,1185.85,15.97,176.20,,,,,,
2001.04,1189.84,15.88,176.90,,,,,,
2001.05,1270.37,15.78,177.70,,,,,,
2001.06,1238.71,15.69,178.00,,,,,,
2001.07,1204.45,15.71,177.50,,,,,,
2001.08,1178.50,15.72,177.50,,,,,,
2001.09,1044.64,15.74,178.30,,,,,,
2001.1,1076.59,15.74,177.70,,,,,,
2001.11,1129.68,15.74,177.40,,,,,,
2001.12,1144.93,15.74,176.70,,,,,,
2002.01,1140.21,15.74,177.10,,,,,,
2002.02,1100.67,15.73,177.80,,,,,,
2002.03,1153.79,15.73,178.80,,,,,,
2002.04,1111.93,15.83,179.80,,,,,,
2002.05,1079.25,15.94,179.80,,,,,,
2002.06,1014.02,16.04,179.90,,,,,,
2002.07,903.59,15.96,180.10,,,,,,
2002.08,912.55,15.88,180.70,,,,,,
2002.09,867.81,15.80,181.00,,,,,,
2002.1,854.63,15.89,181.30,,,,,,
2002.11,909.93,15.98,181.30,,,,,,
2002.12,899.18,16.07,180.90,,,,,,
2003.01,895.84,16.12,181.70,,,,,,
2003.02,837.03,16.17,183.10,,,,,,
2003.03,846.63,16.22,184.20,,,,,,
2003.04,890.03,16.20,183.80,,,,,,
2003.05,935.96,16.19,183.50,,,,,,
2003.06,988.00,16.17,183.70,,,,,,
2003.07,992.54,16.31,183.90,,,,,,
2003.08,989.53,16.45,184.60,,,,,,
2003.09,1019.44,16.59,185.20,,,,,,
2003.1,1038.73,16.86,185.00,,,,,,
2003.11,1049.90,17.12,184.50,,,,,,
2003.12,1080.64,17.39,184.30,,,,,,
2004.01,1132.52,17.60,185.20,,,,,,
2004.02,1143.36,17.81,186.20,,,,,,
2004.03,1123.98,18.02,187.40,,,,,,
2004.04,1133.36,18.21,188.00,,,,,,
2004.05,1102.78,18.41,189.10,,,,,,
2004.06,1132.76,18.60,189.70,,,,,,
2004.07,1105.85,18.79,189.40,,,,,,
2004.08,1088.94,18.97,189.50,,,,,,
2004.09,1117.66,19.16,189.90,,,,,,
2004.1,1117.21,19.25,190.90,,,,,,
2004.11,1168.94,19.35,191.00,,,,,,
2004.12,1199.21,19.44,190.30,,,,,,
2005.01,1181.41,19.70,190.70,,,,,,
2005.02,1199.63,19.97,191.80,,,,,,
2005.03,1194.90,20.23,193.30,,,,,,
2005.04,1164.43,20.46,194.60,,,,,,
2005.05,1178.28,20.70,194.40,,,,,,
2005.06,1202.25,20.93,194.50,,,,,,
2005.07,1222.24,21.11,195.40,,,,,,
2005.08,1224.27,21.29,196.40,,,,,,
2005.09,1225.92,21.47,198.80,,,,,,
2005.1,1191.96,21.72,199.20,,,,,,
2005.11,1237.37,21.97,197.60,,,,,,
2005.12,1262.07,22.22,196.80,,,,,,
2006.01,1278.73,22.41,198.30,,,,,,
2006.02,1276.65,22.59,198.70,,,,,,
2006.03,1293.74,22.78,199.80,,,,,,
2006.04,1302.17,23.00,201.50,,,,,,
2006.05,1290.01,23.22,202.50,,,,,,
2006.06,1253.17,23.44,202.90,,,,,,
2006.07,1260.24,23.66,203.50,,,,,,
2006.08,1287.15,23.88,203.90,,,,,,
2006.09,1317.74,24.10,202.90,,,,,,
2006.1,1363.38,24.36,201.80,,,,,,
2006.11,1388.64,24.62,201.50,,,,,,
2006.12,1416.42,24.88,201.80,,,,,,
2007.01,1424.16,25.08,202.416,,,,,,
2007.02,1444.80,25.29,203.499,,,,,,
2007.03,1406.95,25.49,205.352,,,,,,
2007.04,1463.64,25.72,206.686,,,,,,
2007.05,1511.14,25.94,207.949,,,,,,
2007.06,1514.19,26.17,208.352,,,,,,
2007.07,1520.71,26.44,208.299,,,,,,
2007.08,1454.62,26.71,207.917,,,,,,
2007.09,1497.12,26.98,208.49,,,,,,
2007.1,1539.66,27.23,208.936,,,,,,
2007.11,1463.39,27.48,210.177,,,,,,
2007.12,1479.22,27.73,210.036,,,,,,
2008.01,1378.76,27.92,211.08,,,,,,
2008.02,1354.87,28.11,211.693,,,,,,
2008.03,1316.94,28.3,213.528,,,,,,
2008.04,1370.47,28.44,214.823,,,,,,
2008.05,1403.22,28.57,216.632,,,,,,
2008.06,1341.25,28.71,218.815,,,,,,
2008.07,1257.33,28.76,219.964,,,,,,
2008.08,1281.47,28.80,219.086,,,,,,
2008.09,1216.95,28.85,218.783,,,,,,
2008.1,968.8,28.70,216.573,,,,,,
2008.11,883.04,28.54,212.425,,,,,,
2008.12,877.56,28.39,210.228,,,,,,
2009.01,865.58,28.01,211.143,,,,,,
2009.02,805.23,27.64,212.193,,,,,,
2009.03,757.13,27.26,212.709,,,,,,
2009.04,848.15,26.70,213.24,,,,,,
2009.05,902.41,26.15,213.856,,,,,,
2009.06,926.12,25.59,215.693,,,,,,
2009.07,935.82,25.03,215.351,,,,,,
2009.08,1009.73,24.46,215.834,,,,,,
2009.09,1044.55,23.9,215.969,,,,,,
2009.1,1067.66,23.40,216.177,,,,,,
2009.11,1088.07,22.91,216.33,,,,,,
2009.12,1110.38,22.41,215.949,,,,,,
2010.01,1123.58,22.24,216.687,,,,,,
2010.02,1089.16,22.07,216.741,,,,,,
2010.03,1152.05,21.9,217.631,,,,,,
2010.04,1197.32,21.95,218.009,,,,,,
2010.05,1125.06,21.99,218.178,,,,,,
2010.06,1083.36,22.04,217.965,,,,,,
2010.07,1079.8,22.14,218.011,,,,,,
2010.08,1087.28,22.25,218.312,,,,,,
2010.09,1122.08,22.35,218.439,,,,,,
2010.1,1171.58,22.48,218.711,,,,,,
2010.11,1198.89,22.60,218.803,,,,,,
2010.12,1241.53,22.73,219.179,,,,,,
2011.01,1282.62,22.96,220.223,,,,,,
2011.02,1321.12,23.20,221.309,,,,,,
2011.03,1304.49,23.43,223.467,,,,,,
2011.04,1331.51,23.73,224.906,,,,,,
2011.05,1338.31,24.04,225.964,,,,,,
2011.06,1287.29,24.34,225.722,,,,,,
2011.07,1325.19,24.62,225.922,,,,,,
2011.08,1185.31,24.90,226.545,,,,,,
2011.09,1173.88,25.18,226.889,,,,,,
2011.1,1207.22,25.60,226.421,,,,,,
2011.11,1226.42,26.01,226.23,,,,,,
2011.12,1243.32,26.43,225.672,,,,,,
2012.01,1300.58,26.74,226.665,,,,,,
2012.02,1352.49,27.04,227.663,,,,,,
2012.03,1389.24,27.35,229.392,,,,,,
2012.04,1386.43,27.67,230.085,,,,,,
2012.05,1341.27,28.00,229.815,,,,,,
2012.06,1323.48,28.32,229.478,,,,,,
2012.07,1359.78,28.74,229.104,,,,,,
2012.08,1403.45,29.17,230.379,,,,,,
2012.09,1443.42,29.59,231.407,,,,,,
2012.1,1437.82,30.14,231.317,,,,,,
2012.11,1394.51,30.70,230.221,,,,,,
2012.12,1422.29,31.25,229.601,,,,,,
2013.01,1480.4,31.54,230.28,,,,,,
2013.02,1512.31,31.82,232.166,,,,,,
2013.03,1550.83,32.11,232.773,,,,,,
2013.04,1570.7,32.50,232.531,,,,,,
2013.05,1639.84,32.88,232.945,,,,,,
2013.06,1618.77,33.27,233.504,,,,,,
2013.07,1668.68,33.65,233.596,,,,,,
2013.08,1670.09,34.02,233.877,,,,,,
2013.09,1687.17,34.4,234.149,,,,,,
2013.1,1720.03,34.60,233.546,,,,,,
2013.11,1783.54,34.79,233.069,,,,,,
2013.12,1807.78,34.99,233.049,,,,,,
2014.01,1822.36,35.40,233.916,,,,,,
2014.02,1817.04,35.82,234.781,,,,,,
2014.03,1863.52,36.23,236.293,,,,,,
2014.04,1864.26,36.61,237.072,,,,,,
2014.05,1889.77,37.00,237.9,,,,,,
2014.06,1947.09,37.38,238.343,,,,,,
2014.07,1973.1,37.75,238.25,,,,,,
2014.08,1961.53,38.12,237.852,,,,,,
2014.09,1993.23,38.49,238.031,,,,,,
2014.1,1937.27,38.81,237.433,,,,,,
2014.11,2044.57,39.12,236.151,,,,,,
2014.12,2054.27,39.44,234.812,,,,,,
2015.01,2028.18,39.90,233.707,,,,,,
2015.02,2082.2,40.35,234.722,,,,,,
2015.03,2079.99,40.81,236.119,,,,,,
2015.04,2094.86,41.12,236.599,,,,,,
2015.05,2111.94,41.43,237.805,,,,,,
2015.06,2099.29,41.74,238.638,,,,,,
2015.07,2094.14,42.00,238.654,,,,,,
2015.08,2039.87,42.25,238.316,,,,,,
2015.09,1944.41,42.51,237.945,,,,,,
2015.1,2024.81,42.80,237.838,,,,,,
2015.11,2080.62,43.10,237.336,,,,,,
2015.12,2054.08,43.39,236.525,,,,,,
2016.01,1918.6,43.55,236.916,,,,,,
2016.02,1904.42,43.72,237.111,,,,,,
2016.03,2021.95,43.88,238.132,,,,,,
2016.04,2075.54,44.07,239.261,,,,,,
2016.05,2065.55,44.27,240.236,,,,,,
2016.06,2083.89,44.46,240.724,,,,,,
2016.07,2102.95,,240.967,,,,,,
